season,episode,airdate,hosts,youtube_id, view_count,like_count,dislike_count,title,year,imdb_id,imdb_rating,runtime,imdb_cast,imdb_votes,oscar_winner,gregg_popcorn,gregg_oscar,tim_popcorn,tim_oscar
5,4,7/23/2014,Gregg Turkington|Tim Heidecker|Joe Estevez,BQx_2bQniZI,167923,1529,31,Hercules,2014,1267297,6.0,98,Dwayne Johnson|Ian McShane|John Hurt|Rufus Sewell|Aksel Hennie,144988,False,5,True,5,False
5,4,7/23/2014,Gregg Turkington|Tim Heidecker|Joe Estevez,BQx_2bQniZI,167923,1529,31,Magic in the Moonlight,2014,2870756,6.5,97,Colin Firth|Antonia Clarke|Natasha Andrews|Valérie Beaulieu|Peter Wollasch,63529,False,5,False,5,False
5,5,7/30/2014,Gregg Turkington|Tim Heidecker,k_MbreQjXJ4,166302,1544,44,Get on Up,2014,2473602,6.9,139,Chadwick Boseman|Nelsan Ellis|Dan Aykroyd|Viola Davis|Lennie James,21925,False,5,True,5,False
5,5,7/30/2014,Gregg Turkington|Tim Heidecker,k_MbreQjXJ4,166302,1544,44,Guardians of the Galaxy,2014,2015381,8.0,121,Chris Pratt|Zoe Saldana|Dave Bautista|Vin Diesel|Bradley Cooper,1032992,False,5,False,5,False
5,6,8/6/2014,Gregg Turkington|Tim Heidecker,sU5PVNZ1GSo,172821,2464,60,Into the Storm,2014,2106361,5.8,89,Richard Armitage|Sarah Wayne Callies|Matt Walsh|Max Deacon|Nathan Kress,64604,False,NA,NA,NA,NA
5,6,8/6/2014,Gregg Turkington|Tim Heidecker,sU5PVNZ1GSo,172821,2464,60,Teenage Mutant Ninja Turtles,2014,1291150,5.8,101,Megan Fox|Will Arnett|William Fichtner|Alan Ritchson|Noel Fisher,199796,False,5,False,5,False
5,7,8/13/2014,Gregg Turkington|Tim Heidecker,Q6_ckZw65dI,161784,1412,30,The Expendables 3,2014,2333784,6.1,126,Sylvester Stallone|Jason Statham|Harrison Ford|Arnold Schwarzenegger|Mel Gibson,167755,False,5,False,5,True
5,7,8/13/2014,Gregg Turkington|Tim Heidecker,Q6_ckZw65dI,161784,1412,30,Let's Be Cops,2014,1924435,6.4,104,Jake Johnson|Damon Wayans Jr.|Rob Riggle|Nina Dobrev|James D'Arcy,126626,False,5,False,5,False
5,8,8/20/2014,Gregg Turkington|Tim Heidecker,P93K-73MshM,168160,1525,32,Sin City: A Dame to Kill For,2014,0458481,6.5,102,Mickey Rourke|Jessica Alba|Josh Brolin|Joseph Gordon-Levitt|Rosario Dawson,151380,False,5,False,5,False
5,9,8/27/2014,"Ayaka Ohwaki|Gregg Turkington|Tim Heidecker|Tom Cruise Heidecker, Jr",hGzuqylxR8w,130793,1204,21,The November Man,2014,2402157,6.3,108,Pierce Brosnan|Luke Bracey|Olga Kurylenko|Bill Smitrovich|Amila Terzimehic,62888,False,5,False,4,False
